date,weightclass,fighter,rank
2026-03-10,Light Heavyweight,Gregory Rodrigues,13
2026-03-10,Light Heavyweight,Joe Pyfer,14
2026-03-10,Light Heavyweight,Brunno Ferreira,15
2026-03-10,Heavyweight,Alex Pereira,0
2026-03-10,Heavyweight,Magomed Ankalaev,1
2026-03-10,Heavyweight,Jiří Procházka,2
2026-03-10,Heavyweight,Carlos Ulberg,3
2026-03-10,Heavyweight,Khalil Rountree Jr.,4
2026-03-10,Heavyweight,Jan Błachowicz,5
2026-03-10,Heavyweight,Azamat Murzakanov,6
2026-03-10,Heavyweight,Jamahal Hill,7
2026-03-10,Heavyweight,Volkan Oezdemir,8
2026-03-10,Heavyweight,Bogdan Guskov,9
2026-03-10,Heavyweight,Dominick Reyes,10
2026-03-10,Heavyweight,Aleksandar Rakić,11
2026-03-10,Heavyweight,Johnny Walker,12
2026-03-10,Heavyweight,Nikita Krylov,13
2026-03-10,Heavyweight,Dustin Jacoby,14
2026-03-10,Heavyweight,Zhang Mingyang,15
2026-03-10,Women's Strawweight,Tom Aspinall,0
2026-03-10,Women's Strawweight,Ciryl Gane,1
2026-03-10,Women's Strawweight,Alexander Volkov,2
2026-03-10,Women's Strawweight,Sergei Pavlovich,3
2026-03-10,Women's Strawweight,Curtis Blaydes,4
2026-03-10,Women's Strawweight,Waldo Cortes Acosta,5
2026-03-10,Women's Strawweight,Serghei Spivac,6
2026-03-10,Women's Strawweight,Rizvan Kuniev,7
2026-03-10,Women's Strawweight,Marcin Tybura,8
2026-03-10,Women's Strawweight,Derrick Lewis,9
2026-03-10,Women's Strawweight,Ante Delija,10
2026-03-10,Women's Strawweight,Tallison Teixeira,11
2026-03-10,Women's Strawweight,Shamil Gaziev,12
2026-03-10,Women's Strawweight,Mick Parkin,13
2026-03-10,Women's Strawweight,Valter Walker,14
2026-03-10,Women's Strawweight,Vitor Petrino,15
2026-03-10,Women's Flyweight,Valentina Shevchenko,0
2026-03-10,Women's Flyweight,Valentina Shevchenko,1
2026-03-10,Women's Flyweight,Kayla Harrison,2
2026-03-10,Women's Flyweight,Zhang Weili,3
2026-03-10,Women's Flyweight,Natalia Silva,4
2026-03-10,Women's Flyweight,Mackenzie Dern,5
2026-03-10,Women's Flyweight,Manon Fiorot,6
2026-03-10,Women's Flyweight,Erin Blanchfield,7
2026-03-10,Women's Flyweight,Julianna Peña,8
2026-03-10,Women's Flyweight,Alexa Grasso,9
2026-03-10,Women's Flyweight,Virna Jandiroba,10
2026-03-10,Women's Flyweight,Raquel Pennington,11
2026-03-10,Women's Flyweight,Tatiana Suarez,12
2026-03-10,Women's Flyweight,Rose Namajunas,13
2026-03-10,Women's Flyweight,Yan Xiaonan,14
2026-03-10,Women's Flyweight,Maycee Barber,15
2026-03-10,Women's Bantamweight,Mackenzie Dern,0
2026-03-10,Women's Bantamweight,Zhang Weili,1
2026-03-10,Women's Bantamweight,Tatiana Suarez,2
2026-03-10,Women's Bantamweight,Virna Jandiroba,3
2026-03-10,Women's Bantamweight,Yan Xiaonan,4
2026-03-10,Women's Bantamweight,Amanda Lemos,5
2026-03-10,Women's Bantamweight,Loopy Godinez,6
2026-03-10,Women's Bantamweight,Tabatha Ricci,7
2026-03-10,Women's Bantamweight,Gillian Robertson,8
2026-03-10,Women's Bantamweight,Jéssica Andrade,9
2026-03-10,Women's Bantamweight,Amanda Ribas,10
2026-03-10,Women's Bantamweight,Fatima Kline,11
2026-03-10,Women's Bantamweight,Denise Gomes,12
2026-03-10,Women's Bantamweight,Alexia Thainara,13
2026-03-10,Women's Bantamweight,Angela Hill,14
2026-03-10,Women's Bantamweight,Mizuki,15
2026-03-10,Women's Featherweight,Valentina Shevchenko,0
2026-03-10,Women's Featherweight,Manon Fiorot,1
2026-03-10,Women's Featherweight,Natalia Silva,1
2026-03-10,Women's Featherweight,Alexa Grasso,3
2026-03-10,Women's Featherweight,Erin Blanchfield,4
2026-03-10,Women's Featherweight,Maycee Barber,5
2026-03-10,Women's Featherweight,Jasmine Jasudavicius,6
2026-03-10,Women's Featherweight,Rose Namajunas,7
2026-03-10,Women's Featherweight,Tracy Cortez,8
2026-03-10,Women's Featherweight,Karine Silva,9
2026-03-10,Women's Featherweight,Miranda Maverick,10
2026-03-10,Women's Featherweight,Wang Cong,11
2026-03-10,Women's Featherweight,Casey O'Neill,12
2026-03-10,Women's Featherweight,Eduarda Moura,13
2026-03-10,Women's Featherweight,Gabriella Fernandes,14
2026-03-10,Women's Featherweight,JJ Aldrich,15
2026-03-10,Pound-for-Pound,Kayla Harrison,0
2026-03-10,Pound-for-Pound,Julianna Peña,1
2026-03-10,Pound-for-Pound,Raquel Pennington,2
2026-03-10,Pound-for-Pound,Norma Dumont,3
2026-03-10,Pound-for-Pound,Ketlen Vieira,4
2026-03-10,Pound-for-Pound,Yana Santos,5
2026-03-10,Pound-for-Pound,Irene Aldana,6
2026-03-10,Pound-for-Pound,Ailin Perez,7
2026-03-10,Pound-for-Pound,Macy Chiasson,8
2026-03-10,Pound-for-Pound,Karol Rosa,9
2026-03-10,Pound-for-Pound,Jacqueline Cavalcanti,10
2026-03-10,Pound-for-Pound,Joselyne Edwards,11
2026-03-10,Pound-for-Pound,Mayra Bueno Silva,12
2026-03-10,Pound-for-Pound,Nora Cornolle,13
2026-03-10,Pound-for-Pound,Miesha Tate,14
2026-03-10,Pound-for-Pound,Luana Santos,15
2026-03-11,Flyweight,Islam Makhachev,0
2026-03-11,Flyweight,Islam Makhachev,1
2026-03-11,Flyweight,Ilia Topuria,2
2026-03-11,Flyweight,Khamzat Chimaev,3
2026-03-11,Flyweight,Alexander Volkanovski,4
2026-03-11,Flyweight,Alex Pereira,5
2026-03-11,Flyweight,Petr Yan,6
2026-03-11,Flyweight,Tom Aspinall,7
2026-03-11,Flyweight,Merab Dvalishvili,8
2026-03-11,Flyweight,Alexandre Pantoja,9
2026-03-11,Flyweight,Joshua Van,10
2026-03-11,Flyweight,Dricus Du Plessis,11
2026-03-11,Flyweight,Charles Oliveira,12
2026-03-11,Flyweight,Magomed Ankalaev,13
2026-03-11,Flyweight,Jack Della Maddalena,14
2026-03-11,Flyweight,Max Holloway,15
2026-03-11,Bantamweight,Joshua Van,0
2026-03-11,Bantamweight,Alexandre Pantoja,1
2026-03-11,Bantamweight,Manel Kape,2
2026-03-11,Bantamweight,Tatsuro Taira,3
2026-03-11,Bantamweight,Brandon Royval,4
2026-03-11,Bantamweight,Kyoji Horiguchi,5
2026-03-11,Bantamweight,Lone’er Kavanagh,6
2026-03-11,Bantamweight,Amir Albazi,7
2026-03-11,Bantamweight,Asu Almabayev,7
2026-03-11,Bantamweight,Brandon Moreno,9
2026-03-11,Bantamweight,Alex Perez,10
2026-03-11,Bantamweight,Tim Elliott,11
2026-03-11,Bantamweight,Steve Erceg,12
2026-03-11,Bantamweight,Tagir Ulanbekov,13
2026-03-11,Bantamweight,Charles Johnson,14
2026-03-11,Bantamweight,Bruno Silva,15
2026-03-11,Featherweight,Petr Yan,0
2026-03-11,Featherweight,Merab Dvalishvili,1
2026-03-11,Featherweight,Umar Nurmagomedov,2
2026-03-11,Featherweight,Sean O'Malley,2
2026-03-11,Featherweight,Cory Sandhagen,4
2026-03-11,Featherweight,Song Yadong,5
2026-03-11,Featherweight,Aiemann Zahabi,6
2026-03-11,Featherweight,Deiveson Figueiredo,7
2026-03-11,Featherweight,Mario Bautista,8
2026-03-11,Featherweight,David Martinez,9
2026-03-11,Featherweight,Marlon Vera,10
2026-03-11,Featherweight,Payton Talbott,11
2026-03-11,Featherweight,Vinicius Oliveira,12
2026-03-11,Featherweight,Raul Rosas Jr.,13
2026-03-11,Featherweight,Montel Jackson,14
2026-03-11,Featherweight,Farid Basharat,15
2026-03-11,Lightweight,Alexander Volkanovski,0
2026-03-11,Lightweight,Movsar Evloev,1
2026-03-11,Lightweight,Diego Lopes,2
2026-03-11,Lightweight,Lerone Murphy,3
2026-03-11,Lightweight,Yair Rodriguez,4
2026-03-11,Lightweight,Aljamain Sterling,5
2026-03-11,Lightweight,Jean Silva,6
2026-03-11,Lightweight,Youssef Zalal,7
2026-03-11,Lightweight,Arnold Allen,8
2026-03-11,Lightweight,Steve Garcia,9
2026-03-11,Lightweight,Brian Ortega,10
2026-03-11,Lightweight,Josh Emmett,11
2026-03-11,Lightweight,Melquizael Costa,12
2026-03-11,Lightweight,Patricio Pitbull,13
2026-03-11,Lightweight,Kevin Vallejos,14
2026-03-11,Lightweight,David Onama,15
2026-03-11,Welterweight,Ilia Topuria,0
2026-03-11,Welterweight,Justin Gaethje,1
2026-03-11,Welterweight,Arman Tsarukyan,2
2026-03-11,Welterweight,Charles Oliveira,3
2026-03-11,Welterweight,Max Holloway,4
2026-03-11,Welterweight,Benoît Saint Denis,5
2026-03-11,Welterweight,Paddy Pimblett,6
2026-03-11,Welterweight,Dan Hooker,7
2026-03-11,Welterweight,Mateusz Gamrot,8
2026-03-11,Welterweight,Mauricio Ruffy,9
2026-03-11,Welterweight,Rafael Fiziev,10
2026-03-11,Welterweight,Renato Moicano,11
2026-03-11,Welterweight,Beneil Dariush,12
2026-03-11,Welterweight,Michael Chandler,13
2026-03-11,Welterweight,Manuel Torres,14
2026-03-11,Welterweight,Farès Ziam,15
2026-03-11,Middleweight,Islam Makhachev,0
2026-03-11,Middleweight,Jack Della Maddalena,1
2026-03-11,Middleweight,Ian Machado Garry,2
2026-03-11,Middleweight,Michael Morales,3
2026-03-11,Middleweight,Belal Muhammad,4
2026-03-11,Middleweight,Carlos Prates,5
2026-03-11,Middleweight,Sean Brady,6
2026-03-11,Middleweight,Kamaru Usman,7
2026-03-11,Middleweight,Leon Edwards,8
2026-03-11,Middleweight,Joaquin Buckley,9
2026-03-11,Middleweight,Gabriel Bonfim,10
2026-03-11,Middleweight,Gilbert Burns,11
2026-03-11,Middleweight,Uroš Medić,12
2026-03-11,Middleweight,Michael Page,13
2026-03-11,Middleweight,Colby Covington,14
2026-03-11,Middleweight,Daniel Rodriguez,15
2026-03-11,Light Heavyweight,Khamzat Chimaev,0
2026-03-11,Light Heavyweight,Dricus Du Plessis,1
2026-03-11,Light Heavyweight,Nassourdine Imavov,2
2026-03-11,Light Heavyweight,Sean Strickland,3
2026-03-11,Light Heavyweight,Israel Adesanya,4
2026-03-11,Light Heavyweight,Caio Borralho,5
2026-03-11,Light Heavyweight,Brendan Allen,6
2026-03-11,Light Heavyweight,Anthony Hernandez,7
2026-03-11,Light Heavyweight,Reinier de Ridder,8
2026-03-11,Light Heavyweight,Robert Whittaker,9
2026-03-11,Light Heavyweight,Jared Cannonier,10
2026-03-11,Light Heavyweight,Roman Dolidze,11
2026-03-11,Light Heavyweight,Gregory Rodrigues,12
2026-03-11,Light Heavyweight,Paulo Costa,13
2026-03-11,Light Heavyweight,Joe Pyfer,14
2026-03-11,Light Heavyweight,Brunno Ferreira,15
2026-03-11,Heavyweight,Alex Pereira,0
2026-03-11,Heavyweight,Magomed Ankalaev,1
2026-03-11,Heavyweight,Jiří Procházka,2
2026-03-11,Heavyweight,Carlos Ulberg,3
2026-03-11,Heavyweight,Khalil Rountree Jr.,4
2026-03-11,Heavyweight,Jan Błachowicz,5
2026-03-11,Heavyweight,Azamat Murzakanov,6
2026-03-11,Heavyweight,Jamahal Hill,7
2026-03-11,Heavyweight,Bogdan Guskov,8
2026-03-11,Heavyweight,Volkan Oezdemir,9
2026-03-11,Heavyweight,Dominick Reyes,10
2026-03-11,Heavyweight,Aleksandar Rakić,11
2026-03-11,Heavyweight,Johnny Walker,12
2026-03-11,Heavyweight,Nikita Krylov,13
2026-03-11,Heavyweight,Dustin Jacoby,14
2026-03-11,Heavyweight,Zhang Mingyang,15
2026-03-11,Women's Strawweight,Tom Aspinall,0
2026-03-11,Women's Strawweight,Ciryl Gane,1
2026-03-11,Women's Strawweight,Alexander Volkov,2
2026-03-11,Women's Strawweight,Sergei Pavlovich,3
2026-03-11,Women's Strawweight,Curtis Blaydes,4
2026-03-11,Women's Strawweight,Waldo Cortes Acosta,4
2026-03-11,Women's Strawweight,Serghei Spivac,6
2026-03-11,Women's Strawweight,Rizvan Kuniev,7
2026-03-11,Women's Strawweight,Derrick Lewis,8
2026-03-11,Women's Strawweight,Marcin Tybura,8
2026-03-11,Women's Strawweight,Ante Delija,10
2026-03-11,Women's Strawweight,Tallison Teixeira,11
2026-03-11,Women's Strawweight,Mick Parkin,12
2026-03-11,Women's Strawweight,Shamil Gaziev,13
2026-03-11,Women's Strawweight,Valter Walker,14
2026-03-11,Women's Strawweight,Tai Tuivasa,15
2026-03-11,Women's Flyweight,Valentina Shevchenko,0
2026-03-11,Women's Flyweight,Valentina Shevchenko,1
2026-03-11,Women's Flyweight,Kayla Harrison,2
2026-03-11,Women's Flyweight,Zhang Weili,3
2026-03-11,Women's Flyweight,Natalia Silva,4
2026-03-11,Women's Flyweight,Mackenzie Dern,5
2026-03-11,Women's Flyweight,Manon Fiorot,6
2026-03-11,Women's Flyweight,Erin Blanchfield,7
2026-03-11,Women's Flyweight,Julianna Peña,8
2026-03-11,Women's Flyweight,Alexa Grasso,9
2026-03-11,Women's Flyweight,Virna Jandiroba,10
2026-03-11,Women's Flyweight,Tatiana Suarez,11
2026-03-11,Women's Flyweight,Raquel Pennington,12
2026-03-11,Women's Flyweight,Yan Xiaonan,13
2026-03-11,Women's Flyweight,Rose Namajunas,14
2026-03-11,Women's Flyweight,Maycee Barber,15
2026-03-11,Women's Bantamweight,Mackenzie Dern,0
2026-03-11,Women's Bantamweight,Zhang Weili,1
2026-03-11,Women's Bantamweight,Tatiana Suarez,2
2026-03-11,Women's Bantamweight,Virna Jandiroba,3
2026-03-11,Women's Bantamweight,Yan Xiaonan,4
2026-03-11,Women's Bantamweight,Amanda Lemos,5
2026-03-11,Women's Bantamweight,Loopy Godinez,6
2026-03-11,Women's Bantamweight,Tabatha Ricci,7
2026-03-11,Women's Bantamweight,Gillian Robertson,8
2026-03-11,Women's Bantamweight,Jéssica Andrade,9
2026-03-11,Women's Bantamweight,Amanda Ribas,10
2026-03-11,Women's Bantamweight,Fatima Kline,11
2026-03-11,Women's Bantamweight,Denise Gomes,12
2026-03-11,Women's Bantamweight,Alexia Thainara,13
2026-03-11,Women's Bantamweight,Angela Hill,14
2026-03-11,Women's Bantamweight,Mizuki,15
2026-03-11,Women's Featherweight,Valentina Shevchenko,0
2026-03-11,Women's Featherweight,Natalia Silva,1
2026-03-11,Women's Featherweight,Manon Fiorot,2
2026-03-11,Women's Featherweight,Alexa Grasso,3
2026-03-11,Women's Featherweight,Erin Blanchfield,3
2026-03-11,Women's Featherweight,Maycee Barber,5
2026-03-11,Women's Featherweight,Rose Namajunas,6
2026-03-11,Women's Featherweight,Jasmine Jasudavicius,7
2026-03-11,Women's Featherweight,Tracy Cortez,8
2026-03-11,Women's Featherweight,Miranda Maverick,9
2026-03-11,Women's Featherweight,Karine Silva,10
2026-03-11,Women's Featherweight,Wang Cong,11
2026-03-11,Women's Featherweight,Casey O'Neill,12
2026-03-11,Women's Featherweight,Eduarda Moura,13
2026-03-11,Women's Featherweight,Gabriella Fernandes,14
2026-03-11,Women's Featherweight,JJ Aldrich,15
2026-03-11,Pound-for-Pound,Kayla Harrison,0
2026-03-11,Pound-for-Pound,Julianna Peña,1
2026-03-11,Pound-for-Pound,Raquel Pennington,2
2026-03-11,Pound-for-Pound,Norma Dumont,3
2026-03-11,Pound-for-Pound,Ketlen Vieira,4
2026-03-11,Pound-for-Pound,Yana Santos,5
2026-03-11,Pound-for-Pound,Irene Aldana,6
2026-03-11,Pound-for-Pound,Ailin Perez,6
2026-03-11,Pound-for-Pound,Karol Rosa,8
2026-03-11,Pound-for-Pound,Macy Chiasson,9
2026-03-11,Pound-for-Pound,Jacqueline Cavalcanti,10
2026-03-11,Pound-for-Pound,Joselyne Edwards,11
2026-03-11,Pound-for-Pound,Mayra Bueno Silva,12
2026-03-11,Pound-for-Pound,Nora Cornolle,13
2026-03-11,Pound-for-Pound,Miesha Tate,14
2026-03-11,Pound-for-Pound,Luana Santos,15
2026-03-18,Flyweight,Islam Makhachev,0
2026-03-18,Flyweight,Islam Makhachev,1
2026-03-18,Flyweight,Ilia Topuria,2
2026-03-18,Flyweight,Khamzat Chimaev,3
2026-03-18,Flyweight,Alexander Volkanovski,4
2026-03-18,Flyweight,Alex Pereira,5
2026-03-18,Flyweight,Petr Yan,6
2026-03-18,Flyweight,Tom Aspinall,7
2026-03-18,Flyweight,Merab Dvalishvili,8
2026-03-18,Flyweight,Alexandre Pantoja,9
2026-03-18,Flyweight,Joshua Van,10
2026-03-18,Flyweight,Charles Oliveira,11
2026-03-18,Flyweight,Dricus Du Plessis,12
2026-03-18,Flyweight,Jack Della Maddalena,13
2026-03-18,Flyweight,Magomed Ankalaev,14
2026-03-18,Flyweight,Arman Tsarukyan,15
2026-03-18,Bantamweight,Joshua Van,0
2026-03-18,Bantamweight,Alexandre Pantoja,1
2026-03-18,Bantamweight,Manel Kape,2
2026-03-18,Bantamweight,Tatsuro Taira,3
2026-03-18,Bantamweight,Brandon Royval,4
2026-03-18,Bantamweight,Kyoji Horiguchi,5
2026-03-18,Bantamweight,Lone’er Kavanagh,6
2026-03-18,Bantamweight,Amir Albazi,7
2026-03-18,Bantamweight,Asu Almabayev,8
2026-03-18,Bantamweight,Brandon Moreno,9
2026-03-18,Bantamweight,Alex Perez,10
2026-03-18,Bantamweight,Tim Elliott,11
2026-03-18,Bantamweight,Steve Erceg,12
2026-03-18,Bantamweight,Charles Johnson,13
2026-03-18,Bantamweight,Tagir Ulanbekov,14
2026-03-18,Bantamweight,Bruno Silva,15
2026-03-18,Featherweight,Petr Yan,0
2026-03-18,Featherweight,Merab Dvalishvili,1
2026-03-18,Featherweight,Umar Nurmagomedov,2
2026-03-18,Featherweight,Sean O'Malley,2
2026-03-18,Featherweight,Cory Sandhagen,4
2026-03-18,Featherweight,Song Yadong,5
2026-03-18,Featherweight,Aiemann Zahabi,6
2026-03-18,Featherweight,Deiveson Figueiredo,7
2026-03-18,Featherweight,Mario Bautista,8
2026-03-18,Featherweight,David Martinez,9
2026-03-18,Featherweight,Marlon Vera,10
2026-03-18,Featherweight,Payton Talbott,11
2026-03-18,Featherweight,Vinicius Oliveira,12
2026-03-18,Featherweight,Raul Rosas Jr.,13
2026-03-18,Featherweight,Montel Jackson,14
2026-03-18,Featherweight,Farid Basharat,15
2026-03-18,Lightweight,Alexander Volkanovski,0
2026-03-18,Lightweight,Movsar Evloev,1
2026-03-18,Lightweight,Diego Lopes,2
2026-03-18,Lightweight,Lerone Murphy,3
2026-03-18,Lightweight,Yair Rodriguez,4
2026-03-18,Lightweight,Aljamain Sterling,5
2026-03-18,Lightweight,Jean Silva,6
2026-03-18,Lightweight,Youssef Zalal,7
2026-03-18,Lightweight,Arnold Allen,8
2026-03-18,Lightweight,Steve Garcia,9
2026-03-18,Lightweight,Kevin Vallejos,10
2026-03-18,Lightweight,Brian Ortega,11
2026-03-18,Lightweight,Melquizael Costa,12
2026-03-18,Lightweight,Patricio Pitbull,13
2026-03-18,Lightweight,David Onama,14
2026-03-18,Lightweight,Josh Emmett,15
2026-03-18,Welterweight,Ilia Topuria,0
2026-03-18,Welterweight,Justin Gaethje,1
2026-03-18,Welterweight,Arman Tsarukyan,2
2026-03-18,Welterweight,Charles Oliveira,3
2026-03-18,Welterweight,Max Holloway,4
2026-03-18,Welterweight,Benoît Saint Denis,5
2026-03-18,Welterweight,Paddy Pimblett,6
2026-03-18,Welterweight,Dan Hooker,7
2026-03-18,Welterweight,Mateusz Gamrot,8
2026-03-18,Welterweight,Mauricio Ruffy,9
2026-03-18,Welterweight,Renato Moicano,10
2026-03-18,Welterweight,Rafael Fiziev,10
2026-03-18,Welterweight,Beneil Dariush,12
2026-03-18,Welterweight,Michael Chandler,13
2026-03-18,Welterweight,Manuel Torres,14
2026-03-18,Welterweight,Farès Ziam,15
2026-03-18,Middleweight,Islam Makhachev,0
2026-03-18,Middleweight,Jack Della Maddalena,1
2026-03-18,Middleweight,Ian Machado Garry,2
2026-03-18,Middleweight,Michael Morales,3
2026-03-18,Middleweight,Belal Muhammad,4
2026-03-18,Middleweight,Carlos Prates,5
2026-03-18,Middleweight,Sean Brady,6
2026-03-18,Middleweight,Kamaru Usman,7
2026-03-18,Middleweight,Leon Edwards,8
2026-03-18,Middleweight,Joaquin Buckley,9
2026-03-18,Middleweight,Gabriel Bonfim,10
2026-03-18,Middleweight,Gilbert Burns,11
2026-03-18,Middleweight,Uroš Medić,12
2026-03-18,Middleweight,Michael Page,13
2026-03-18,Middleweight,Colby Covington,14
2026-03-18,Middleweight,Daniel Rodriguez,15
2026-03-18,Light Heavyweight,Khamzat Chimaev,0
2026-03-18,Light Heavyweight,Dricus Du Plessis,1
2026-03-18,Light Heavyweight,Nassourdine Imavov,2
2026-03-18,Light Heavyweight,Sean Strickland,3
2026-03-18,Light Heavyweight,Israel Adesanya,4
2026-03-18,Light Heavyweight,Caio Borralho,5
2026-03-18,Light Heavyweight,Brendan Allen,6
2026-03-18,Light Heavyweight,Anthony Hernandez,7
2026-03-18,Light Heavyweight,Reinier de Ridder,8
2026-03-18,Light Heavyweight,Robert Whittaker,9
2026-03-18,Light Heavyweight,Jared Cannonier,10
2026-03-18,Light Heavyweight,Roman Dolidze,11
2026-03-18,Light Heavyweight,Gregory Rodrigues,12
2026-03-18,Light Heavyweight,Paulo Costa,13
2026-03-18,Light Heavyweight,Joe Pyfer,14
2026-03-18,Light Heavyweight,Brunno Ferreira,15
2026-03-18,Heavyweight,Alex Pereira,0
2026-03-18,Heavyweight,Magomed Ankalaev,1
2026-03-18,Heavyweight,Jiří Procházka,2
2026-03-18,Heavyweight,Carlos Ulberg,3
2026-03-18,Heavyweight,Khalil Rountree Jr.,4
2026-03-18,Heavyweight,Jan Błachowicz,5
2026-03-18,Heavyweight,Azamat Murzakanov,6
2026-03-18,Heavyweight,Jamahal Hill,7
2026-03-18,Heavyweight,Bogdan Guskov,8
2026-03-18,Heavyweight,Volkan Oezdemir,9
2026-03-18,Heavyweight,Dominick Reyes,10
2026-03-18,Heavyweight,Aleksandar Rakić,11
2026-03-18,Heavyweight,Johnny Walker,12
2026-03-18,Heavyweight,Nikita Krylov,13
2026-03-18,Heavyweight,Dustin Jacoby,14
2026-03-18,Heavyweight,Zhang Mingyang,15
